,keyword,title,summary,link,visible_link,date,rank,label
0,疫情期间大强度锻炼可提高抵抗力,疫情期间是否可以通过大强度的锻炼来提高抵抗力？,2020年3月3日 - 国家体育总局体育科学研究所研究员 徐建方. 首先要明确，居家健身不适宜进行长时间大强度锻炼。在居家防疫期间，为确保运动安全有效，运动强度 ...,http://www.nhc.gov.cn/xcs/kpzs/202003/6337c1399fc44288a6e779e47f3c5b01.shtml,www.nhc.gov.cn › xcs › kpzs,2020年3月3日,1,0
1,疫情期间大强度锻炼可提高抵抗力,都说体育锻炼能增强体质，提高免疫力，疫情期间是否可以通过 ...,2020年3月1日 - 首先要明确居家健身不宜进行长时间大强度锻炼。在居家防疫期间，为确保运动安全有效，运动强度必须控制在适宜范围。强度过低，效果不理想；但 ...,http://www.nhc.gov.cn/xcs/nwwd/202003/05ce77a535414e0787d21586b0540d4d.shtml,www.nhc.gov.cn › xcs › nwwd,2020年3月1日,2,0
2,疫情期间大强度锻炼可提高抵抗力,疫情期间可以通过大强度的锻炼来提高抵抗力？,流传内容：新型冠状病毒肺炎主要依靠自身免疫力，所以在家做高强度运动可以提高免疫力，抵御病毒感染。 鉴定结果：谣言. 要点：. 在居家防疫期间，为确保运动安全 ...,http://static.scms.sztv.com.cn/ysz/9a071557/tt1/28456245.shtml,static.scms.sztv.com.cn › ysz,,3,0
3,疫情期间大强度锻炼可提高抵抗力,疫情期间可以通过大强度锻炼提高抵抗力? - 青海省科学技术厅,2020年4月15日 - 谣言：居家防疫特殊时期，提高抵抗力的有效方法是进行大强度的体育锻炼。 辟谣：适量运动有益健康，在2019年新型冠状病毒肺炎大爆发的当下， ...,http://kjt.qinghai.gov.cn/content/show/id/6529,kjt.qinghai.gov.cn › content › show,2020年4月15日,4,0
4,疫情期间大强度锻炼可提高抵抗力,【够科普】疫情期间是否可以通过大强度锻炼来提高抵抗力？ _ ...,2020年3月2日 - 央视网消息：都说体育锻炼能够增强体质、提高免疫力。疫情期间是否可以通过大强度的锻炼来提高抵抗力？国家体育总局体育科学研究所研究员 ...,http://www.ce.cn/xwzx/gnsz/gdxw/202003/02/t20200302_34377299.shtml,www.ce.cn › 新闻 › 国内时政更多新闻,2020年3月2日,5,0
5,疫情期间大强度锻炼可提高抵抗力,战疫期间宅在家这些做法会影响你的免疫力-新华网,2020年2月25日 - 战疫期间宅在家这些做法会影响你的免疫力---在新型冠状病毒肺炎疫情 ... 规律从事适量中等强度运动的人群可以提高自身的免疫功能，与久坐少动 ... 疫情期间应避免长时间高强度训练，规律维持中等强度运动量，每周锻炼3—5次， ...,http://www.xinhuanet.com/2020-02/25/c_1125621022.htm,www.xinhuanet.com › ...,2020年2月25日,6,0
6,疫情期间大强度锻炼可提高抵抗力,疫情期间是否可以通过大强度的锻炼来提高抵抗力？ - 观察者,2020年3月2日 - 另外还可以练习一些仰卧背桥、小燕飞等等。 第三个问题，都说体育锻炼能够增强体质、提高免疫力。疫情期间是否可以通过大强度的锻炼来提高抵抗 ...,https://www.guancha.cn/politics/2020_03_02_539481.shtml?s=zwyxgtjbt,www.guancha.cn › politics,2020年3月2日,7,0
7,疫情期间大强度锻炼可提高抵抗力,【够科普】疫情期间是否可以通过大强度锻炼来提高抵抗力？_ ...,2020年3月2日 - 央视网消息：都说体育锻炼能够增强体质、提高免疫力。疫情期间是否可以通过大强度的锻炼来提高抵抗力？国家体育总局体育科学研究所研究员 ...,https://news.hangzhou.com.cn/gnxw/content/2020-03/02/content_7686813.htm,news.hangzhou.com.cn › 新闻中心 › 国内新闻,2020年3月2日,8,0
8,疫情期间大强度锻炼可提高抵抗力,【够科普】疫情期间是否可以通过大强度锻炼来提高抵抗力？-千 ...,2020年3月2日 - 都说体育锻炼能够增强体质、提高免疫力。疫情期间是否可以通过大强度的锻炼来提高抵抗力？国家体育总局体育科学研究所研究员徐建方建议， ...,http://china.qianlong.com/2020/0302/3776611.shtml,china.qianlong.com › ...,2020年3月2日,9,0
9,疫情期间大强度锻炼可提高抵抗力,疫情期间大强度锻炼，能提高抵抗力？_手机浙江网 - 浙江在线,2020年3月4日 - 浙江辟谣网据丁香医生消息疫情期间，高强度锻炼能提高抵抗力吗？国家体育总局体育科学研究所研究院表示：长时间大强度的运动，会导致身体 ...,https://py.zjol.com.cn/pyxw/202003/t20200304_11739151.shtml,py.zjol.com.cn › pyxw,2020年3月4日,10,0
10,疫情期间大强度锻炼可提高抵抗力,疫情期间是否可以通过大强度的锻炼来提高抵抗力？-观察者网,2020年3月2日 - 身体素质较好的和平常有着良好体育锻炼习惯的成年人，建议可以进行高强度间歇训练，这样能够提高心肺功能和基本力量素质，同时，还能够在短 ...,https://m.guancha.cn/politics/2020_03_02_539481.shtml,m.guancha.cn › politics,2020年3月2日,11,0
11,疫情期间大强度锻炼可提高抵抗力,疫情期间大强度锻炼可提高抵抗力？_山东频道_凤凰网,疫情期间大强度锻炼可提高抵抗力？ 2020年03月10日18:37 来源：中国新闻网. 用微信扫描二维码分享至好友和朋友圈. 人参与 评论. 辟谣. 原标题：疫情期间大强度 ...,http://sd.ifeng.com/a/20200310/13466540_0.shtml,sd.ifeng.com › ...,,12,0
