,id,label,title,pubtime,linkurl,rumorType,editor,author,sourcename,mainSummary,body
768,768,1,雄黄可以杀死新型冠状病毒,2020-02-14 12:21:05,http://www.piyao.org.cn/2020-02/14/c_1210474142.htm,0,周文婧,,内蒙古辟谣平台、腾讯较真,,
986,986,1,千万别出门玩雪会感染新冠病毒,,,0,,,,北京地坛医院感染病急诊主任王凌航：不用担心新冠病毒会通过雪来传染,北京地坛医院感染病急诊主任王凌航表示：关于气候条件和呼吸道传染病流行之间，实际上没有必然联系，下雪和呼吸道疾病的消长之间没有确定的因果联系，不用把下雪和疫情联系起来，也不用担心病毒会通过雪来传染。不过还是要提醒大家做好防护措施。
274,274,1,北京市幼升小以及小升初预计推迟至七月,2020-04-19 16:18:44,http://www.piyao.org.cn/2020-04/19/c_1210577421.htm,0,张智萍,,@北京市教委,,
686,686,1,疫苗最快4月下旬申报临床试验,2020-02-21 13:34:46,http://www.piyao.org.cn/2020-02/21/c_1210484090.htm,1,芮静,,人民日报客户端,,
174,174,1,教育部明确体育课莫戴N95口罩 中高考体育测试项目可适当调整,2020-05-13 10:19:23,http://www.piyao.org.cn/2020-05/13/c_1210616531.htm,1,闫丹丹,,央视网,,
810,810,1,钟南山发布喝单枞茶吃草莓可防新型肺炎,2020-02-12 09:28:58,http://www.piyao.org.cn/2020-02/12/c_1210471077.htm,0,周文婧,,科普中国,,
251,251,1,网传深圳中小学生5月11日和18日分批返校,2020-04-24 10:31:06,http://www.piyao.org.cn/2020-04/24/c_1210588165.htm,0,冯栋,,@深圳新闻网,,
179,179,1,长春福临家园小区现封闭隔离长江路步行街现已封闭,2020-05-12 15:51:35,http://www.piyao.org.cn/2020-05/12/c_1210615386.htm,0,张智萍,,长春发布,,
620,620,1,哈尔滨封城了,2020-02-28 10:49:11,http://www.piyao.org.cn/2020-02/28/c_1210493330.htm,0,谢博隆,,央视新闻客户端,,
545,545,1,网传大庆肇州县第二中学部分年级3月15号开学,2020-03-08 17:47:30,http://www.piyao.org.cn/2020-03/08/c_1210505801.htm,0,周文婧,,@大庆网警巡查执法,,
1055,1055,1,喷嚏一打几米远病毒可悬浮24小时,,,2,,,,丁香医生团队：交流要保持距离；尚未证实新冠病毒可以通过空气传播。,一般情况下，飞沫传播只有与传染源近距离接触时才可能实现。飞沫传播在1～2米之间，距离传染源1米以外相对安全，2米开外就很安全了。打喷嚏、咳嗽要比讲话时飞沫喷出的距离远许多，新型冠状病毒主要经飞沫传播。但是这并不意味着会导致空气中到处都是新型冠状病毒，也尚未证实其可以通过空气传播。即使与人接触时保持距离，也请带好口罩做好防护。
