,title,pubtime,linkurl,keyword,editor,author,sourcename
0,广西有人3次检测呈阳性？,2020-06-28 10:49:26,http://www.piyao.org.cn/2020-06/28/c_1210679706.htm,0,张智萍,,昭平公安
1,蚊蝇可以传播新冠病毒？,2020-06-28 10:49:51,http://www.piyao.org.cn/2020-06/28/c_1210679586.htm,0,张智萍,,中国新闻网
2,南昌民德路锦江之星酒店发现有俄罗斯人患新冠肺炎？,2020-06-26 11:05:25,http://www.piyao.org.cn/2020-06/26/c_1210677436.htm,0,张智萍,,央广网
4,市民路过中高风险地区健康码会变色？,2020-06-24 15:44:27,http://www.piyao.org.cn/2020-06/24/c_1210675351.htm,0,冯栋,张璐,新京报
5,上海30天内禁止跨省旅游团？,2020-06-24 16:28:01,http://www.piyao.org.cn/2020-06/24/c_1210675361.htm,0,冯栋,白璐,上海网络辟谣
6,北京301医院出现疫情，新增百余封闭小区？,2020-06-24 09:36:12,http://www.piyao.org.cn/2020-06/24/c_1210674632.htm,0,冯栋,,中国新闻网
7,对离京人员一律隔离14天？,2020-06-24 16:28:03,http://www.piyao.org.cn/2020-06/24/c_1210675367.htm,2,冯栋,,北京日报客户端
8,河北顺平林江商厦卖带鱼的老板被隔离？,2020-06-23 11:39:31,http://www.piyao.org.cn/2020-06/23/c_1210673318.htm,0,张智萍,,保定网警巡查执法
9,中国人更易感染新冠病毒？,2020-06-23 11:39:35,http://www.piyao.org.cn/2020-06/23/c_1210673313.htm,0,张智萍,,央视新闻客户端
10,福建永辉生鲜物流出现大量无症状感染者？,2020-06-23 11:30:15,http://www.piyao.org.cn/2020-06/23/c_1210673330.htm,0,张智萍,,央视网
11,五台山不接待北京、河北等地游客?,2020-06-23 10:03:54,http://www.piyao.org.cn/2020-06/23/c_1210672365.htm,0,冯栋,,五台山管委会微信公号
12,鄂牌车车主因新冠肺炎去世未挪车？,2020-06-22 15:25:09,http://www.piyao.org.cn/2020-06/22/c_1210672058.htm,0,冯栋,,@人民日报
13,长沙航班顺丰货机检查出新冠病毒？,2020-06-22 15:25:07,http://www.piyao.org.cn/2020-06/22/c_1210672056.htm,0,冯栋,程春雨,@中国新闻网
14,肉蛋鱼、海鲜不能吃了？,2020-06-26 11:04:04,http://www.piyao.org.cn/2020-06/26/c_1210677445.htm,2,张智萍,,中国新闻网
15,交通运输部：端午节及今后一段时期继续暂停省际旅游客运,2020-06-24 15:44:23,http://www.piyao.org.cn/2020-06/24/c_1210675376.htm,1,冯栋,,中国新闻网
16,雄安安新县实施全封闭管理,2020-06-28 10:50:11,http://www.piyao.org.cn/2020-06/28/c_1210679715.htm,1,张智萍,,新华网
17,江西新余一孕妇从北京回来生孩子确诊？,2020-06-22 15:24:37,http://www.piyao.org.cn/2020-06/22/c_1210672039.htm,0,冯栋,,新余公安微信公号
18,河北省新乐市信誉楼有新冠肺炎传播风险？,2020-06-22 15:25:11,http://www.piyao.org.cn/2020-06/22/c_1210672060.htm,0,冯栋,,新乐市发布微信公号
19,北京：瞒报、谎报健康宝状态将被依法追责,2020-06-26 11:03:56,http://www.piyao.org.cn/2020-06/26/c_1210677448.htm,1,张智萍,,新华社
20,安庆市立医院确诊一例新冠肺炎患者？,2020-06-21 14:17:14,http://www.piyao.org.cn/2020-06/21/c_1210670711.htm,0,董晓,,安庆网警巡查执法
21,豆制品有毒，不能吃了？,2020-06-23 11:34:02,http://www.piyao.org.cn/2020-06/23/c_1210673307.htm,0,张智萍,,中国新闻网
22,宁波高新区新增1例确诊病例？,2020-06-21 14:17:14,http://www.piyao.org.cn/2020-06/21/c_1210670705.htm,0,董晓,,宁波网警巡查执法
23,北京义利北冰洋2员工感染新冠？,2020-06-21 14:17:14,http://www.piyao.org.cn/2020-06/21/c_1210670698.htm,0,董晓,,人民网
24,病毒零下20度可存活20年并非指新冠病毒,2020-06-20 15:42:57,http://www.piyao.org.cn/2020-06/20/c_1210669828.htm,2,何舟,,浙江在线
25,上海地铁11号线因有新冠患者突然暂停？,2020-06-20 15:33:43,http://www.piyao.org.cn/2020-06/20/c_1210669742.htm,0,何舟,,上海市卫生健康委员会官方微博
26,用酒精涂抹鼻腔可预防新冠肺炎的发病？,2020-06-20 15:36:40,http://www.piyao.org.cn/2020-06/20/c_1210669791.htm,0,何舟,吴慧莉,科学辟谣平台
27,逛杭州某超市绿码会变红码？,2020-06-20 15:46:40,http://www.piyao.org.cn/2020-06/20/c_1210669834.htm,0,何舟,敖煜华,杭州网
28,河南居民感染新冠肺炎？,2020-06-20 15:35:13,http://www.piyao.org.cn/2020-06/20/c_1210669771.htm,0,何舟,田萌,央视新闻客户端
29,南昌自来水加大氯气注入 需静置两小时以上再用？,2020-06-20 15:38:04,http://www.piyao.org.cn/2020-06/20/c_1210669804.htm,0,何舟,谭红,中国江西网
30,霞山东风市场三文鱼店查出冠状病毒？,2020-06-20 15:41:26,http://www.piyao.org.cn/2020-06/20/c_1210669810.htm,0,何舟,,霞山政务
31,北京丰台一小区断粮？,2020-06-19 14:54:46,http://www.piyao.org.cn/2020-06/19/c_1210668502.htm,0,周文婧,,新京报
32,因新发地回来的司机，包头一市场发现疫情？,2020-06-19 14:54:46,http://www.piyao.org.cn/2020-06/19/c_1210668506.htm,0,周文婧,,@包头网警巡查执法
33,陕西宝鸡发现2例疑似新冠病例？,2020-06-19 14:54:46,http://www.piyao.org.cn/2020-06/19/c_1210668504.htm,0,周文婧,,央视新闻客户端
35,四川甘孜石渠确诊1例新冠肺炎？,2020-06-19 14:54:46,http://www.piyao.org.cn/2020-06/19/c_1210668514.htm,0,周文婧,,石渠县委宣传部微信公众号
36,钟南山来北京了？,2020-06-19 09:47:38,http://www.piyao.org.cn/2020-06/19/c_1210667833.htm,0,闫丹丹,,北京日报微信公众号
37,国家卫生健康委疾控局：中高风险地区的高考考生要全程佩戴口罩,2020-06-19 14:54:46,http://www.piyao.org.cn/2020-06/19/c_1210668516.htm,1,闫丹丹,,央视新闻
38,深圳福田区发现自北京抵深确诊病例？,2020-06-19 09:47:38,http://www.piyao.org.cn/2020-06/19/c_1210667847.htm,0,闫丹丹,,深圳卫健委官方微博
39,深圳地铁9号线封了？,2020-06-19 09:47:38,http://www.piyao.org.cn/2020-06/19/c_1210667858.htm,0,闫丹丹,,深圳地铁官方微博
40,河南漯河出现一例新冠肺炎患者？,2020-06-19 09:47:38,http://www.piyao.org.cn/2020-06/19/c_1210667863.htm,0,闫丹丹,,央视新闻客户端
41,重庆渝中区解放碑出现确诊病例？,2020-06-19 09:47:38,http://www.piyao.org.cn/2020-06/19/c_1210667868.htm,0,闫丹丹,,重庆网信办微信公众号
42,北京：三类涉疫人群严禁出京 民航铁路对出京人员查验核酸检测阴性证明,2020-06-19 09:47:38,http://www.piyao.org.cn/2020-06/19/c_1210667816.htm,1,闫丹丹,,央视新闻
44,石家庄市无极县出现新冠肺炎确诊病例？,2020-06-18 15:50:02,http://www.piyao.org.cn/2020-06/18/c_1210666923.htm,0,殷荧,,@石家庄市互联网举报中心
45,广西一酒店接待北京客人致20多人发烧被隔离？,2020-06-18 15:50:02,http://www.piyao.org.cn/2020-06/18/c_1210666913.htm,0,殷荧,,人民网
